Адрес пункта выдачи
"101000, г. Бумажск, ул. Канцелярская, 12"
"101001, г. Бумажск, ул. Офисная, 5"
"101002, г. Бумажск, ул. Бумажная, 34"
"101003, г. Бумажск, ул. Папковая, 17"
"101004, г. Бумажск, ул. Линейная, 9"
"101005, г. Бумажск, ул. Ручкина, 21"
"101006, г. Бумажск, ул. Тетрадная, 8"
"101007, г. Бумажск, ул. Скрепочная, 13"
"101008, г. Бумажск, ул. Клеевая, 3"
"101009, г. Бумажск, ул. Маркерная, 26"
"101010, г. Бумажск, ул. Степлерная, 7"
"101011, г. Бумажск, ул. Ластикова, 15"
"101012, г. Бумажск, ул. Конвертная, 11"
"101013, г. Бумажск, ул. Ножничная, 19"
"101014, г. Бумажск, ул. Блокнотная, 22"
"101015, г. Бумажск, ул. Карандашная, 6"
"101016, г. Бумажск, ул. Файловая, 30"
"101017, г. Бумажск, ул. Стикерная, 4"
"101018, г. Бумажск, ул. Точильная, 18"
"101019, г. Бумажск, ул. Корректорная, 1"
