Артикул,Наименование товара,Единица измерения,Цена,Поставщик,Производитель,Категория товара,Действующая скидка,Кол-во на складе,Описание товара,Фото
K1001,Ручка шариковая синяя,шт.,25,ОфисМир,ErichKrause,Письменные принадлежности,0,150,"Ручка шариковая, синие чернила, пластиковый корпус",pen1.jpg
K1002,Карандаш чернографитный,шт.,15,КанцТорг,Koh-i-Noor,Письменные принадлежности,5,200,"Карандаш HB, деревянный корпус, с ластиком",pencil1.jpg
K1003,"Блокнот А5, 80 листов",шт.,120,БумагаPro,Moleskine,Бумажная продукция,10,80,"Блокнот в твердой обложке, клетка, 80 листов",notebook1.jpg
K1004,Папка-скоросшиватель А4,шт.,45,ОфисМир,Brauberg,Папки и архивация,0,120,"Папка-скоросшиватель пластиковая, синяя",folder1.jpg
K1005,Степлер мини,шт.,280,КанцТорг,Deli,Офисная техника,15,40,"Степлер компактный, вмещает до 20 листов",stapler1.jpg
K1006,Ножницы канцелярские,шт.,180,ОфисМир,Centrum,Канцелярские инструменты,0,65,"Ножницы с пластмассовыми ручками, длина лезвия 15 см",scissors1.jpg
K1007,"Бумага А4, 500 л.",пачка,350,БумагаPro,SvetoCopy,Бумажная продукция,8,30,"Бумага для офисной техники, плотность 80 г/м?",paper1.jpg
K1008,Маркер перманентный,шт.,60,КанцТорг,Edding,Письменные принадлежности,0,90,"Маркер перманентный, черный, тонкий наконечник",marker1.jpg
K1009,Линейка пластиковая 30см,шт.,40,ОфисМир,Attache,Канцелярские инструменты,0,110,"Линейка гибкая, прозрачная, с метрической и дюймовой шкалой",ruler1.jpg
K1010,Ластик белый,шт.,20,КанцТорг,Koh-i-Noor,Письменные принадлежности,0,200,"Ластик мягкий, для карандаша и чернил",eraser1.jpg
K1011,"Тетрадь 48л., клетка",шт.,65,БумагаPro,Гознак,Бумажная продукция,5,180,"Тетрадь в мягкой обложке, 48 листов, клетка",copybook1.jpg
K1012,Дырокол на 2 отверстия,шт.,320,ОфисМир,Brauberg,Офисная техника,12,25,"Дырокол пластиковый, регулируемое расстояние между отверстиями",holepunch1.jpg
K1013,Корректирующая лента,шт.,110,КанцТорг,ErichKrause,Письменные принадлежности,0,70,"Корректирующая лента, ширина 5 мм, длина 6 м",corrector1.jpg
K1014,"Конверт С5, без марки",шт.,8,БумагаPro,Гознак,Бумажная продукция,0,300,"Конверт почтовый, формат С5, белый",envelope1.jpg
K1015,Набор цветных карандашей,набор,450,ОфисМир,Faber-Castell,Творчество,20,35,"Набор из 24 цветных карандашей, деревянный корпус",pencils_set1.jpg
K1016,Точилка для карандашей,шт.,35,КанцТорг,Deli,Письменные принадлежности,0,85,Точилка пластиковая с контейнером для стружки,sharpener1.jpg
K1017,Скрепки металлические,коробка,55,ОфисМир,Brauberg,Крепеж,0,60,"Скрепки оцинкованные, размер 28 мм, 100 шт. в коробке",clips1.jpg
K1018,"Файл А4, прозрачный",шт.,5,БумагаPro,GBC,Папки и архивация,0,500,"Файл для документов, полипропилен, матовая поверхность",file1.jpg
K1019,Клей-карандаш,шт.,75,КанцТорг,ErichKrause,Клеящие материалы,0,120,"Клей-карандаш, 21 г, нетоксичный, с колпачком",glue1.jpg
K1020,Блок стикеров 76x76 мм,блок,90,ОфисМир,Post-it,Бумажная продукция,10,45,"Блок липких заметок, 100 листов, желтый",stickers1.jpg
